Campaign name,Ad name,Ad set name,Age,Gender,Reach,Impressions,Post engagements,Messaging conversations started,Clicks (all),Currency,Cost per post engagement,Cost per messaging conversation started,CTR (all),Amount spent (THB),Reporting starts,Reporting ends
2200 | DIA | Engage | Disney Princess Collection - Album | 8 - 31 July 26,Engage - Disney Princess Collection - Album - 8 - 31 July 26,2200 | DIA | Engage |  Disney Princess Collection - Album | 8 - 31 July 26  [BKK],25-34,female,26886,58169,7628,176,9266,THB,0.35043277,15.18807476,15.92944696,2673.101157,1/7/2026,31/7/2026
2200 | DIA | Message | Jewel of July | 1 - 15 July 26,Message - Jewel of July - 1 - 15 July 26,2200 | DIA | Message | Jewel of July | 1 - 15 July 26  [BKK],35-44,female,10371,32254,697,77,1334,THB,3.62721795,32.83338848,4.13592113,2528.170913,1/7/2026,31/7/2026
2200 | DIA | Engage | Disney Princess Collection - Album | 8 - 31 July 26,Engage - Disney Princess Collection - Album - 8 - 31 July 26,2200 | DIA | Engage |  Disney Princess Collection - Album | 8 - 31 July 26  [BKK],35-44,female,14707,29343,4193,114,5216,THB,0.45989898,16.91540708,17.77596019,1928.356407,1/7/2026,31/7/2026
2200 | DIA | Message | Jewel of July | 1 - 15 July 26,Message - Jewel of July - 1 - 15 July 26,2200 | DIA | Message | Jewel of July | 1 - 15 July 26  [BKK],25-34,female,7194,23864,392,43,897,THB,4.30907416,39.28272259,3.75879987,1689.157071,1/7/2026,31/7/2026
2200 | DIA | Message | Disney Princess Collection | 7 - 31 July 26,Message -  Disney Princess Collection - 7 - 31 July 26,2200 | DIA | Message |  Disney Princess Collection | 7 - 31 July 26 [Other-Province],25-34,female,6598,20527,373,48,1377,THB,4.05895442,31.54145833,6.70823793,1513.99,1/7/2026,31/7/2026
2200 | DIA | Message | Disney Princess Collection | 7 - 31 July 26,Message -  Disney Princess Collection - 7 - 31 July 26,2200 | DIA | Message |  Disney Princess Collection | 7 - 31 July 26 [Other-Province],35-44,female,5164,15162,308,42,1180,THB,4.59211039,33.67547619,7.78261443,1414.37,1/7/2026,31/7/2026
2200 | DIA | Message | Jewel of July | 1 - 15 July 26,Message - Jewel of July - 1 - 15 July 26,2200 | DIA | Message | Jewel of July | 1 - 15 July 26  [BKK],45-54,female,5291,15155,446,34,742,THB,3.04850942,39.98927058,4.8960739,1359.6352,1/7/2026,31/7/2026
2200 | DIA | Message | Wedding Package | 4 - 31 July 26,Message - Wedding Package - 4 - 31 July 26,2200 | DIA | Message | Wedding Package | 4 - 31 July 26  [BKK],25-34,female,3108,9368,984,18,1240,THB,0.96314271,52.65180157,13.23654996,947.7324283,1/7/2026,31/7/2026
2200 | DIA | Message | Disney Princess Collection | 7 - 31 July 26,Message -  Disney Princess Collection - 7 - 31 July 26,2200 | DIA | Message |  Disney Princess Collection | 7 - 31 July 26  [BKK],25-34,female,4797,13052,194,25,677,THB,4.61032436,35.77611702,5.18694453,894.4029256,1/7/2026,31/7/2026
2200 | DIA | Message | Lovely in Pearls | 1 - 31 July 26,Message - Lovely in Pearls - 1 - 31 July 26,2200 | DIA | Message | Lovely in Pearls | 1 - 31 July 26  [BKK],35-44,female,6076,13776,531,82,881,THB,1.64158192,10.6302439,6.39518002,871.68,1/7/2026,31/7/2026
2200 | DIA | Engage | Disney Princess Collection - Album | 8 - 31 July 26,Engage - Disney Princess Collection - Album - 8 - 31 July 26,2200 | DIA | Engage |  Disney Princess Collection - Album | 8 - 31 July 26 [Other-Province],25-34,female,10644,19137,1974,57,2475,THB,0.43952925,15.22159207,12.93306161,867.630748,1/7/2026,31/7/2026
2200 | DIA | Message | Disney Princess Collection | 7 - 31 July 26,Message -  Disney Princess Collection - 7 - 31 July 26,2200 | DIA | Message |  Disney Princess Collection | 7 - 31 July 26  [BKK],35-44,female,3707,10470,175,22,607,THB,4.93322408,39.2415552,5.79751671,863.3142143,1/7/2026,31/7/2026
2200 | Pearl | Message |  Lovely in Pearls | 1 - 31 July 26,Pearl - Message -  Lovely in Pearls - 1 - 31 July 26,2200 | Pearl | Message |  Lovely in Pearls | 1 - 31 July 26  [BKK],35-44,female,5021,12742,449,80,707,THB,1.90540654,10.6940942,5.5485795,855.5275363,1/7/2026,31/7/2026
2200 | DIA | Message | More Shine This July | 1 - 31 July 26,Message - More Shine This July - 1 - 31 July 26,2200 | DIA | Message | More Shine This July | 1 - 31 July 26  [BKK],35-44,female,2258,7146,715,13,925,THB,1.14940953,63.21752427,12.94430451,821.8278155,1/7/2026,31/7/2026
2200 | DIA | Message | More Shine This July | 1 - 31 July 26,Message - More Shine This July - 1 - 31 July 26,2200 | DIA | Message | More Shine This July | 1 - 31 July 26  [BKK],25-34,female,2298,7352,587,7,781,THB,1.24827422,104.6767098,10.62295974,732.7369683,1/7/2026,31/7/2026
2200 | DIA | Engage | Disney Princess Collection - Album | 8 - 31 July 26,Engage - Disney Princess Collection - Album - 8 - 31 July 26,2200 | DIA | Engage |  Disney Princess Collection - Album | 8 - 31 July 26 [Other-Province],35-44,female,5778,10251,1185,25,1472,THB,0.58818948,27.88018136,14.35957468,697.004534,1/7/2026,31/7/2026
2200 | DIA | Message | Wedding Package | 4 - 31 July 26,Message - Wedding Package - 4 - 31 July 26,2200 | DIA | Message | Wedding Package | 4 - 31 July 26  [BKK],35-44,female,1723,4435,527,11,661,THB,1.25465614,60.10943522,14.90417136,661.2037874,1/7/2026,31/7/2026
2200 | Pearl | Message |  Lovely in Pearls | 1 - 31 July 26,Pearl - Message -  Lovely in Pearls - 1 - 31 July 26,2200 | Pearl | Message |  Lovely in Pearls | 1 - 31 July 26  [BKK],45-54,female,2613,6898,362,49,493,THB,1.65882385,12.25498434,7.14699913,600.4942327,1/7/2026,31/7/2026
